 
  Impact-EELS Intensity
 
  All energies in meV
 
  High-symmetry points and/or path breaks detected at the following q_idxs:
    1   350   474   845  1147  1394  1569 

  The path spacings (in inverse Angstrom) between these points are:
    4.9858E-03    4.9633E-03    4.9903E-03    4.9902E-03    4.9830E-03    4.9719E-03
 
 
  q_idx    mode_idx      Energy               I_eels
   26         2         9.325960        0.000000000000E+00
   26         3         9.325960        0.000000000000E+00
   26         4       134.644074        0.213728473006E-03
   26         5       129.640123        0.000000000000E+00
   26         6       129.640123        0.000000000000E+00
   27         1        12.837231        0.684314591106E-03
   27         2         9.697084        0.000000000000E+00
   27         3         9.697084        0.000000000000E+00
   27         4       135.027414        0.195269921452E-03
   27         5       129.649632        0.000000000000E+00
   27         6       129.649632        0.000000000000E+00
   28         1        13.328353        0.638349209234E-03
   28         2        10.067975        0.000000000000E+00
   28         3        10.067975        0.000000000000E+00
   28         4       135.419949        0.178846705674E-03
   28         5       129.658764        0.000000000000E+00
   28         6       129.658764        0.000000000000E+00
   29         1        13.819195        0.597023962420E-03
   29         2        10.438625        0.000000000000E+00
   29         3        10.438625        0.000000000000E+00
   29         4       135.821109        0.164184527199E-03
   29         5       129.667448        0.000000000000E+00
   29         6       129.667448        0.000000000000E+00
   30         1        14.309750        0.559735467025E-03
   30         2        10.809022        0.000000000000E+00
   30         3        10.809022        0.000000000000E+00
   30         4       136.230322        0.151052860333E-03
   30         5       129.675610        0.000000000000E+00
   30         6       129.675610        0.000000000000E+00
   31         1        14.800008        0.525937028573E-03
   31         2        11.179156        0.000000000000E+00
   31         3        11.179156        0.000000000000E+00
   31         4       136.647011        0.139236001024E-03
   31         5       129.683180        0.000000000000E+00
   31         6       129.683180        0.000000000000E+00
   32         1        15.289965        0.495207851802E-03
   32         2        11.549019        0.000000000000E+00
   32         3        11.549019        0.000000000000E+00
   32         4       137.070601        0.128574924853E-03
   32         5       129.690085        0.000000000000E+00
   32         6       129.690085        0.000000000000E+00
   33         1        15.779612        0.467188707936E-03
   33         2        11.918599        0.000000000000E+00
   33         3        11.918599        0.000000000000E+00
   33         4       137.500512        0.118933276768E-03
   33         5       129.696255        0.000000000000E+00
   33         6       129.696255        0.000000000000E+00
   34         1        16.268943        0.441541861794E-03
   34         2        12.287887        0.000000000000E+00
   34         3        12.287887        0.000000000000E+00
   34         4       137.936166        0.110178380447E-03
   34         5       129.701620        0.000000000000E+00
   34         6       129.701620        0.000000000000E+00
   35         1        16.757950        0.418008683552E-03
   35         2        12.656872        0.000000000000E+00
   35         3        12.656872        0.000000000000E+00
   35         4       138.376989        0.102213111853E-03
   35         5       129.706109        0.000000000000E+00
   35         6       129.706109        0.000000000000E+00
   36         1        17.246629        0.396364812237E-03
   36         2        13.025545        0.000000000000E+00
   36         3        13.025545        0.000000000000E+00
   36         4       138.822407        0.949527930747E-04
   36         5       129.709655        0.000000000000E+00
   36         6       129.709655        0.000000000000E+00
   37         1        17.734973        0.376391505736E-03
   37         2        13.393895        0.000000000000E+00
   37         3        13.393895        0.000000000000E+00
   37         4       139.271851        0.883119526291E-04
   37         5       129.712192        0.000000000000E+00
   37         6       129.712192        0.000000000000E+00
   38         1        18.222975        0.357923002434E-03
   38         2        13.761913        0.000000000000E+00
   38         3        13.761913        0.000000000000E+00
   38         4       139.724757        0.822286712020E-04
   38         5       129.713653        0.000000000000E+00
   38         6       129.713653        0.000000000000E+00
   39         1        18.710631        0.340813544387E-03
   39         2        14.129588        0.000000000000E+00
   39         3        14.129588        0.000000000000E+00
   39         4       140.180565        0.766481970344E-04
   39         5       129.713975        0.000000000000E+00
   39         6       129.713975        0.000000000000E+00
   40         1        19.197934        0.324915752764E-03
   40         2        14.496912        0.000000000000E+00
   40         3        14.496912        0.000000000000E+00
   40         4       140.638726        0.715133165720E-04
   40         5       129.713097        0.000000000000E+00
   40         6       129.713097        0.000000000000E+00
   41         1        19.684879        0.310119616465E-03
   41         2        14.863873        0.000000000000E+00
   41         3        14.863873        0.000000000000E+00
   41         4       141.098693        0.667831083106E-04
   41         5       129.710960        0.000000000000E+00
   41         6       129.710960        0.000000000000E+00
   42         1        20.171462        0.296327297176E-03
   42         2        15.230463        0.000000000000E+00
   42         3        15.230463        0.000000000000E+00
   42         4       141.559931        0.624209456396E-04
   42         5       129.707506        0.000000000000E+00
   42         6       129.707506        0.000000000000E+00
   43         1        20.657676        0.283436088100E-03
   43         2        15.596672        0.000000000000E+00
   43         3        15.596672        0.000000000000E+00
   43         4       142.021914        0.583872782354E-04
   43         5       129.702681        0.000000000000E+00
   43         6       129.702681        0.000000000000E+00
   44         1        21.143518        0.271370821184E-03
   44         2        15.962490        0.000000000000E+00
   44         3        15.962490        0.000000000000E+00
   44         4       142.484124        0.546542205044E-04
   44         5       129.696432        0.000000000000E+00
   44         6       129.696432        0.000000000000E+00
   45         1        21.628983        0.260063958244E-03
