 ##############################################################################
 #
 #                  O p t a D O S   o u t p u t   f i l e 
 #
 #  Generated on 11 Feb 2022 at 14:33:14 
 ##############################################################################
#+----------------------------------------------------------------------------+
#|                    Projected Dispersion Curve -- Projectors                |
#+----------------------------------------------------------------------------+
#| Projector:    1 contains:                                                  |
#|           Atom            AngM Channel                                     |
#|          Al   1                 s                                          |
#|          Al   1                 p                                          |
#|          Al   1                 d                                          |
#|          Al   1                 f                                          |
#+----------------------------------------------------------------------------+
#| Projector:    2 contains:                                                  |
#|           Atom            AngM Channel                                     |
#|          Si   1                 s                                          |
#|          Si   1                 p                                          |
#|          Si   1                 d                                          |
#|          Si   1                 f                                          |
#+----------------------------------------------------------------------------+
K-point      1               0.0000000E+00     0.0000000E+00     0.0000000E+00
      -1.0186433E+01  3.7501029E-01  6.2057073E-01
       1.4571328E+00  1.5197075E-01  8.1216873E-01
       1.4615473E+00  1.5166933E-01  8.1247342E-01
       1.4615473E+00  1.5166928E-01  8.1247360E-01
       4.4148404E+00  7.9314823E-01  1.6271397E-01
       4.4148404E+00  7.9314812E-01  1.6271387E-01
       4.4154154E+00  7.9283463E-01  1.6304574E-01
       5.7507332E+00  6.1532073E-01  3.3284283E-01
       8.7185123E+00  7.0395238E-08  3.1743127E-08
       8.7185123E+00  7.0387119E-08  3.1734246E-08
       9.6873352E+00 -4.0598675E-03  3.3276201E-02
       1.2076578E+01  2.3179639E-02  8.6397196E-03
       1.2076578E+01  2.3179647E-02  8.6397217E-03
       1.2078411E+01  2.3181605E-02  8.6177369E-03
       1.6024473E+01  1.2988594E-02  1.2139515E-02
       2.4099914E+01  1.3630436E-02  4.3060369E-03
       2.4099914E+01  1.3630426E-02  4.3060336E-03
       2.4100342E+01  1.3644485E-02  4.3196486E-03
       2.5450839E+01  8.7075046E-09  1.1526736E-08
       2.5450839E+01  8.7041960E-09  1.1533287E-08
       2.7841379E+01  1.4632168E-02  9.0569206E-03
       2.7845270E+01  1.4629327E-02  9.0712485E-03
       2.7845270E+01  1.4629330E-02  9.0712510E-03
K-point      2               1.3513510E-02     0.0000000E+00     0.0000000E+00
      -1.0183241E+01  3.7482155E-01  6.2076393E-01
       1.4429271E+00  1.5323548E-01  8.1111441E-01
       1.4477898E+00  1.5433792E-01  8.1009096E-01
       1.4495501E+00  1.5488235E-01  8.0958290E-01
       4.4057189E+00  7.9307361E-01  1.6276209E-01
       4.4307877E+00  7.8983897E-01  1.6551962E-01
       4.4311564E+00  7.8963672E-01  1.6573453E-01
       5.7673183E+00  6.1485906E-01  3.3336979E-01
